minusLOG10p-value(GFP vs WT),Difference(GFP vs WT),Gene names
1.006059031,-0.367226919,TCP1
2.626444003,-0.601620356,PTPN1
0.395744553,0.115264893,RPL35A
2.369148797,-0.419813156,ARF4
1.054053008,0.159652074,RPL7
0.918383405,-0.455521266,PGAM1
1.059491223,-0.457577387,ATP5J
4.086577126,3.415751775,XRCC1
1.364177089,-0.239893595,NCL
0.452798739,0.230356852,EIF2AK2
2.158524057,-0.324712118,ATP2B1
0.467345283,-0.090151469,EIF2S2
2.422328697,-0.494281133,RAB4A
2.249131672,-0.590439479,RAB6A
0.167627507,0.087222417,M6PR
0.490400036,-0.191941579,COX5A
1.244516272,0.204153061,LMNB1
0.564287082,-0.192538579,ATP6V1B2
3.479790939,-0.403027217,FLNA
3.987590065,1.064380646,VDAC1
1.356736436,-0.292816798,SDHB
0.644950776,-0.310997009,BCKDHB
3.535730689,-1.07504336,COMT
0.857357272,-0.410520554,MUT
1.530330035,-0.980056763,OSBP
0.875839472,-0.332615534,GART
0.728763647,-0.490917842,SCP2
0.575533781,0.442292531,NME2
1.833172808,0.3326931,HNRNPA2B1
1.919083275,0.63082695,UQCRC2
3.137305608,-0.716669083,FECH
0.405259136,0.301118851,SFPQ
0.112231111,-0.060783386,TUBG1
0.418318819,0.292500814,PPIB
0.15459518,0.134057363,ME2
0.684579511,-0.363183339,GLDC
0.633577373,-0.129523595,RPS3
0.550427143,-1.110993703,AHCY
1.32668064,0.131807963,CFL1
0.916226333,-0.681821823,ATP2B4
1.306563791,-0.984887441,CPT2
1.023218342,0.870100657,COX7B
0.755627768,-0.080528895,ATP5F1
2.910938349,1.202617645,PRKCH
0.615938799,0.397797267,ACAT1
0.963727408,-0.249093374,RPS12
2.578703426,-1.600378672,FAS
2.141939572,-0.179358164,ATP5A1
0.23445655,-0.120430628,MSN
2.315766741,0.863965988,U2AF2
1.129290475,0.775994619,RPL13
0.219507206,-0.14538002,HMGB2
2.264173103,-0.131204605,PTBP1
0.447959335,0.253588994,TARS
0.174066182,0.106772105,EEF1G
0.369655926,0.234515508,AK4
1.392358786,-0.587677638,YWHAQ
0.946660268,-0.538937251,MARK3
1.483345164,0.47040685,RPL10
4.541793183,4.218730927,RPA1
0.950467175,0.377072652,CALR
4.816108945,-0.52203242,NDUFS1
0.888978642,0.379361471,MAPK1
0.62327061,0.568671544,LAP3
2.588617188,-0.633650462,EPHA2
3.530626506,-1.010758718,MARCKS
1.854185163,-0.855299632,GNA11
0.286075805,-0.165308634,ALDH4A1
0.263146616,0.17300415,ERP29
0.237901694,-0.692853928,PRDX6
0.456313746,-0.529693604,C21orf33
1.715052632,1.033415476,PRDX5
2.354852396,-0.351846059,ATP5D
0.007757887,0.001824697,RPL12
1.037556641,0.390390396,ECHS1
0.420751506,0.307943344,PEBP1
0.272679448,0.211303075,PPP2R1A
2.641301301,0.755817413,PPIF
2.501262967,-1.006900787,HMOX2
