Protein IDs
A0FGR8-2;H7BXI1;A0FGR8;A0FGR8-6;A0FGR8-4;F2Z3K9;A0FGR8-5
A1L0T0;M0R026;E9PJS0;E9PL44;M0R1B5;M0QZX5
Q99798;A2A274
P35611;P35611-2;E7EV99;A2A3N8;E7ENY0;P35611-3;Q86XM2;H0Y9H2;D6RF25;D6RJE2;D6RAH3;H0YFD8;H0YG19
P10321;A2AEA2;Q31612;Q95604;P30499;F8W9Z8
A2RRP1;A2RRP1-2;H0Y5G7;C9JCM7;H7C007;H7BZU5;H7C1U4;H7BZR3
A3KMH1;A3KMH1-3;A3KMH1-2
A4D1E9;A4D1E9-2;F8WBY0;F8WCN4;F8WBB5;A4D1E9-3;C9J8R7;C9JNI1;C9JEQ8
O94901-9;A4D2Q0;O94901;O94901-5;O94901-8;E9PHI4;O94901-6;H0Y6N5;H0Y742;E7EP45;H7C2K3;O94901-3;O94901-2;O94901-7;H7C3X3;C9JK55;C9K051;H7C019;C9JR15;O94901-4;C9JS54;C9JJU6
S4R360;J3KPP0;Q9Y6G3;A6NCI0;S4R2Z7
P08865;C9J9K3;A6NE09
Q9Y3P4
Q9Y3U8;J3QSB5;J3KTD3
