minusLOG10p-value(GFP vs triple),Difference(GFP vs triple),Gene names
3.304960816,0.56532224,UQCRC1
1.011442211,0.326658885,HNRNPH3
0.323221776,-0.25462532,YWHAB
1.302562743,-0.450621923,STIP1
1.407071033,-0.916292191,PRDX2
3.039733979,1.165615082,GK
1.827851572,0.998092651,PYCR1
0.417416551,0.055492401,RPL9
0.366127236,-0.262520472,KIF5B
0.63757555,-0.367795944,ABCC1
0.403368248,0.356232961,MCM5
0.181115397,0.118008296,SHMT2
0.335994898,-0.49362119,HSPA4
2.086977042,-1.09647878,CTNNA1
1.226469277,0.209721883,PHB
1.624954651,-0.846359889,RDX
4.202024193,7.674150467,RFC1
0.558302115,0.34410731,RPL22
3.061744039,1.078847249,MYH9
3.000608621,0.629741033,MYH10
0.949257506,-0.495524724,BSG
1.034239955,-0.240594864,NUP214
1.415708224,0.996997197,DEK
0.368661773,0.623358409,ARL2
0.794163327,-1.282489777,TRIM23
1.726695536,-0.361275355,ATP5C1
0.265310332,-0.20811971,ATP6V1E1
0.875166344,0.239630381,RPL4
0.183660614,-0.080456416,DLST
0.336801394,-0.422091802,TAGLN2
0.172140812,0.088876724,ETFB
1.366987517,0.332522074,RBMX
0.85654603,-0.47030131,GGCX
2.468881758,0.495783488,HSPA9
2.159557038,0.543715795,EIF4A3
0.21302109,-0.110029856,RPS19
0.021991684,-0.008961995,RPL3
0.000347514,0.000183105,DDOST
0.101740021,-0.046230316,FEN1
1.429858956,-0.509280523,CCT6A
0.562865047,-0.141010284,RPL13A
0.10537419,0.093391418,MDH2
0.484184317,-0.179261525,HADHA
1.041659642,0.136803309,EIF2S3
0.609532272,-0.36356926,BUD31
0.06894992,-0.059621811,GARS
1.59471453,-0.333862305,SLC19A1
0.125570434,0.125257492,PRKCI
1.292324434,-0.373781204,ECI1
2.467375561,1.648455302,TMPO
1.790556915,0.901223501,TMPO
0.79132549,-0.471769969,MTOR
0.119918767,-0.067925135,RPS27
0.363658069,-0.149181366,LRPPRC
1.104124227,-0.668820063,ACAA2
2.844963665,1.124666214,RPL35
1.675587762,-2.741275787,PRCP
1.774942196,2.821786245,MSH2
0.214306955,-0.068498611,GPD2
0.774610084,-0.553742091,RANBP1
0.255481229,0.36097463,NAMPT
0.358316721,0.127917608,TSFM
3.338190914,0.539742152,VDAC2
0.453962529,0.232192357,ACADSB
0.250078027,-0.164049784,MKI67
0.772908542,0.260760625,RANGAP1
1.86327931,0.654980977,NOP2
0.07594781,-0.16247495,MTIF2
1.249673446,0.637574514,RPL27A
1.00685047,-0.290784836,RPL5
1.477168751,0.619138082,RPL21
0.456388918,0.143522898,RPL28
0.57819861,-0.13478597,RPS9
0.556306752,-0.394109726,RPS10
1.040850784,-0.385126114,MAP1B
0.413060919,-0.144637426,UTRN
2.159188737,-0.956312815,IQGAP1
0.816776178,-0.127447128,STT3A
0.571160902,-0.443117778,CAPZB
0.604771747,-0.751027425,EIF1AX
0.857218572,0.203144073,RPL29
1.085426191,0.404357274,UQCRFS1
1.484459843,-0.19735082,ATP5O
4.074461041,-1.109458923,ARCN1
0.81858911,-0.805606842,LSS
1.186452274,-0.480148951,CCT5
0.013633401,-0.008114497,PTDSS1
0.870152043,-0.328318914,IDH2
2.421491305,-0.862435023,MARCKSL1
0.967274127,-0.628358841,CAMLG
0.855744867,-0.680473328,ALDH9A1
0.023756694,-0.005041122,RPL34
0.898691117,0.532186508,RPIA
3.176997678,-0.775267919,LMAN1
0.409093248,-0.424046199,FASN
1.035133003,-0.259628932,CCT3
0.064644645,0.071228027,MRPL19
2.758091796,0.511863708,TUFM
1.006250141,-0.312338511,ALDH7A1
0.41302098,-0.211384455,SRP9
1.349300318,0.591580073,HARS2
0.05121096,0.029992421,ACADVL
3.481970935,-0.928145727,TMED10
0.347268165,0.236175537,NUMB
0.137346409,0.030967712,RANBP2
0.108025649,-0.105798086,GSK3B
3.033906777,6.636624654,LIG3
0.683169523,0.259700775,PPOX
3.536893563,2.071172714,EMD
1.833823641,0.240184148,SERPINH1
0.59626188,-0.454666138,ST13
1.274810956,-0.445297877,DNM2
0.574039621,-0.268559138,RPL14
0.961601399,-0.289668401,CCT8
0.945720208,-0.280852,CCT4
0.514363072,-0.242981593,FXR1
1.645096249,-0.474992752,FXR2
0.260383205,-0.047240575,RAB5C
1.659364359,-0.294617335,RAB7A
2.063364595,-0.487454732,RAB9A
0.088324737,-0.04466184,RAB13
0.563586653,0.474780401,DAP3
0.705806519,-0.198232651,SSR4
0.959240512,-0.16195933,BCAP31
1.947753608,-0.768937429,HSD17B4
3.233580023,-1.19664065,VAMP7
1.33305272,0.507385254,HNRNPA3
1.024021992,-0.43954277,HNRNPM
2.038090376,1.025444667,KPNA2
0.434271942,-0.178789775,SLC7A2
0.607595467,0.279813766,HNRNPF
0.336207508,0.091150284,KIF11
1.113994482,-0.262849172,CAPZA1
0.045790258,0.039581935,NUP98
2.711696118,-0.718215307,SLC25A1
0.239048328,-0.122397741,SUCLG1
3.1078071,-1.17920812,COPB1
3.026939669,-0.981127421,COPA
1.711607924,-0.5572656,SLC16A1
3.101412565,1.45935758,SUB1
4.274579163,8.117704391,POLG
1.061685515,0.218577067,RARS
0.16590011,0.107127508,YARS
0.208184365,-0.150042216,ATP1B3
0.692112254,-0.273351034,ALDH18A1
0.854451129,-0.596595764,NAPA
0.128261353,-0.03198115,SLC12A2
1.788411809,-0.582006454,VCP
0.484947674,-0.942500432,MFAP1
0.563580293,-0.175996145,HADHB
1.789763693,0.678290049,NHP2L1
0.262738124,-0.114021301,OXCT1
0.033917445,-0.024698257,EIF3B
0.621639029,-0.192969004,ATP5J2
1.075098819,-0.203482946,NDUFV3
1.148647949,0.409710566,RRP1
0.758550419,0.261890411,MARS
1.243511907,-1.308224996,MAZ
0.042046064,0.037476858,MP68
2.032488361,-0.784464518,ATP5E
1.128678755,-1.026538213,ATP5I
1.227787875,0.504226049,EIF6
1.386404691,-0.939390182,NDUFA6
0.264943896,0.073408127,STX17
1.068962055,0.149447123,NUP107
2.025075219,-1.150829951,YBEY
0.981620473,-0.655479431,TPI1
1.315788909,-0.747449875,EIF3E
0.599834726,0.326911926,SEC61B
0.161088666,0.149703979,ACTB
1.079806423,0.589857101,EIF4A1
0.471812864,-0.117282232,RPS20
0.743244699,-1.137040456,PRPS1
1.343229452,-0.833010356,S100A10
1.416780096,-0.337151845,CDC42
1.04653261,1.841464996,DSTN
1.268397469,-0.337937037,RAB8A
0.657855825,-0.231298447,SPCS3
0.619432247,-0.107228597,RAB2A
0.912640782,-0.350353241,RAB5B
0.329026444,-0.110982895,RAB10
2.401159326,-0.307962418,RAB14
0.964846589,-0.686317444,ACTR3
2.105245948,-0.969702403,ACTR1A
1.068643395,-0.498195012,ARF3
0.879634543,-0.333844503,ABCE1
0.21898091,-0.084039688,RAP1B
2.052153123,-1.122351329,RAP2B
0.063923144,-0.033757528,RPS3A
0.157980384,0.096525828,RPL26
0.359641041,-0.134494781,RPL15
0.002321309,-0.000825246,RPL27
0.126738282,-0.094079336,RPL37A
2.599859944,-0.479774475,RHOA
0.03242621,0.048452377,HSPE1
1.775381488,1.109176,RPL37
0.080144416,0.03222084,WDR5
0.525619327,-0.181604385,HNRNPK
2.965259317,-1.001448949,YWHAG
0.372920007,-0.11536471,TIMM10
0.150328267,-0.063399633,RPS7
0.268744173,-0.11058871,RPS8
0.338302038,-0.204524994,RPS16
1.738499434,-0.575308482,YWHAE
0.075350887,-0.079411825,RPS14
0.941657609,0.695020676,RPS23
0.203556005,-0.093531926,RPS18
1.297379869,-0.601219177,RPS29
1.679165778,-0.794161479,RPS13
0.455427946,-0.33294042,RPS11
0.555053765,-0.339825948,SNRPF
0.155468422,-0.131162643,SNRPD1
0.766464126,-0.661322276,ARF6
0.819444078,0.143754959,RPL7A
0.172223244,-0.028016408,RAB11A
0.533733892,0.296685537,ETF1
0.582052235,-0.281358083,RPS4X
0.474245875,-0.086488088,RHOB
0.809918488,-0.077348073,RPL23A
0.40463964,0.182652156,RPS6
3.065953957,3.135746638,HIST1H4A
0.614658282,-0.094333013,RAB1A
0.181462791,-0.078845342,RPL23
0.221718749,0.037249247,RAP1A
1.360470648,-0.32818222,RPS25
0.599829916,-0.313373566,RPS26
2.279391437,0.835959752,RPS28
3.116776834,-0.521225611,GNB1
2.514371958,-0.589420319,GNB2
0.238143028,0.143269857,RPL30
0.430442828,0.178173701,RPL31
1.063783021,-0.20941035,RPL10A
0.341410383,0.059415181,RPL11
0.848183897,0.238411585,RPL11
0.813644243,0.17715772,RPL8
0.133100175,-0.14614296,PPIA
0.120940548,0.090283076,RPS27A
0.342736115,0.361597061,TRA2B
1.230077137,-0.325112661,RAC1
1.560760069,-0.649783452,AP2B1
3.524247463,-0.755781174,GNAS
1.830535323,-1.00222524,GNAS
1.535286105,-0.446298599,YWHAZ
0.312659749,-0.274066289,PPP2R2A
0.409297621,-0.102878571,DYNLL1
0.526276125,-0.668800354,RPL38
1.844786886,-0.857526779,GNG5
0.224090633,-0.295050939,RPS21
0.109279444,-0.119497935,EIF5A
1.086964129,-0.575084686,GNB2L1
0.172330059,-0.067841848,ACTG1
0.555639357,0.162126541,YBX1
0.678934332,-0.307891846,ACTA1
0.198051352,0.066464742,EEF1A1
0.015737499,0.008467992,TUBA1B
0.138421825,-0.088499069,TUBB4B
0.690795652,-0.276618958,CCT2
0.743822241,0.188481649,RAE1
4.278298079,3.08033816,PRKDC
1.40985956,-1.571893692,NUCB2
1.76761259,-0.373065313,BASP1
0.4594197,0.954357147,DCD
1.439163595,-0.923748016,TMF1
1.965543793,0.644346873,MRPS25
0.224793451,0.129072189,MRPS35
1.742564239,0.419371923,MRPS5
0.324358109,-0.186950684,MRPS36
1.28120009,0.584633509,MRPS11
1.13161964,0.269479752,MRPS15
0.364123659,-0.112659454,MRPS21
2.420685183,0.381078084,MRPS6
2.81174548,0.480098724,MRPS9
0.234811545,0.158037821,RPL24
3.672909967,-0.792459488,ERH
0.5725983,0.517323812,RHOG
4.285845854,-1.74050204,EFNB1
1.26974925,0.326265335,TFAM
1.07150403,-0.189201991,SLC25A3
0.287332347,0.215459824,HDLBP
0.567425973,-0.290456136,CDC42EP1
1.111143481,-0.387760798,CLTC
0.917512909,-0.778481801,FKBP3
0.016183963,-0.014916102,REEP5
1.42634245,0.171128591,HNRNPU
1.071379757,0.311694463,U2AF1
0.005554831,-0.002009074,SPTBN1
1.28510407,-0.616572698,SET
0.613178236,-0.329594294,CAP1
1.253060308,0.289599737,SLC7A5
3.012616747,-1.069147746,PFKP
0.032665265,-0.03580157,FKBP4
2.450215804,-2.113324483,NUCB1
0.394416958,0.062505722,RPL6
0.468122479,-0.471227646,AKAP12
0.169142604,-0.055999756,SLC25A11
1.262549554,-1.078395844,CAV1
2.389375529,0.598076502,LMNB2
1.164268657,-0.315531413,TAP2
0.437881492,0.399341583,SSBP1
0.069033284,0.037059784,PRKCD
0.107919481,0.112126033,COL14A1
1.672071084,-0.575486501,FMR1
2.873267089,-0.287747701,PRDX1
1.550324766,-0.372940063,C1QBP
3.633810523,-0.571079254,CKAP4
0.725751205,0.412294388,KHDRBS1
0.040608815,-0.028121312,SRSF4
0.416501949,0.171656291,DHX9
0.043749661,0.06916364,CRYZ
1.464676455,-0.877745946,GOLGA3
2.138887526,-0.977980296,GOLGA2
2.072150913,2.068745931,NSUN2
1.593308491,0.529517492,RBBP4
1.669150038,-0.877195994,AHNAK
0.164803014,-0.245262782,MGAT2
3.540164712,-1.058538437,GALNT2
0.54920451,0.276159286,PMPCA
1.985807011,0.364045461,KIF1A
0.924327744,-0.440343857,ASPH
0.707690035,0.354867935,AIMP1
0.490805836,0.230536143,ILF3
1.419400477,-0.525796254,LMAN2
1.623084829,0.989056269,PTPN13
2.787821791,-1.361270269,DLG1
0.073910267,0.050142288,BNIP1
0.086999721,0.07303683,ECH1
1.994624359,0.458706538,MRPL28
1.817799177,-0.730186462,PRKAA1
0.351485225,-0.140700022,PPFIA1
0.733302229,-0.272993724,HNRNPA0
1.136260087,0.451955795,AIMP2
0.044892386,0.032217662,PRDX4
1.927750364,2.132708232,CBX3
2.064125262,-1.317462285,STX5
1.077797945,-0.617442449,DNAJC3
1.019329816,0.617954254,SRSF9
0.990260626,-0.31591479,SRSF6
0.325919893,0.315898259,TRIM28
0.224541364,-0.150362651,G3BP1
2.33774516,-0.808858871,PTK7
0.508925375,0.096836726,PABPC4
2.771578641,-0.358366648,EIF3I
0.987097954,0.324172338,MRPL49
1.44003442,-0.309518178,NNT
1.966024048,-0.401959737,SNTB2
0.821638885,-0.362939199,SF3B2
2.504472237,-0.771176656,PICALM
0.944865662,0.425326665,IQGAP2
1.072479304,-0.411691666,STIM1
0.943241396,0.45582517,TRA2A
1.705729097,-0.334164937,PEX6
0.376039243,0.14196523,FHL1
0.536355558,-0.179501216,MOGS
2.084225141,-1.571369807,PMAIP1
0.57466502,-0.327987671,ARFRP1
0.821851116,-0.107209524,SPTAN1
0.371115482,-0.208580017,SNTB1
0.485389336,-0.2727712,CUX1
0.072915672,0.088342667,CKAP5
0.552660973,0.16157341,HNRNPD
2.991234405,-1.0762736,SCARB2
2.294823942,-0.958158493,DSG2
2.138306055,-0.443981171,SCRIB
0.197852957,0.106592178,MLEC
0.836512187,-0.304109573,DYNC1H1
0.56197052,-0.313108444,MAP7
1.429536195,-0.980435689,CTTN
3.748473986,-0.92507871,FLOT2
0.783218264,-0.251699448,CAPRIN1
0.449609448,-0.118680954,PDIA5
2.33125337,-0.735776901,ITPR2
1.896388229,-0.460502625,ITPR3
1.706190647,-0.701987584,CLINT1
2.073359027,-0.667966207,SMC1A
1.119330256,-0.994972229,RRP1B
0.375458588,-0.330186844,MESDC2
1.01483302,-0.372473399,GANAB
1.078014767,-0.168230693,LBR
1.599414103,-0.496931712,GOLGB1
1.833368237,-0.585103353,RAB39A
0.888161452,0.782786051,KPNB1
1.631346978,-0.297662099,NOLC1
0.412626733,-0.28491656,NUMA1
1.832635677,-1.126962662,SLMAP
0.007987097,0.001727422,EMC2
0.612922739,-0.127274195,LARS2
2.204930257,0.985392253,SLC39A14
0.041488716,-0.014219284,KARS
2.149098328,-0.84821256,EEA1
0.15681165,0.078882853,PDK1
1.845103519,0.652570089,PDK3
1.099262982,-0.433359782,NOMO1
0.070664531,-0.10084343,PPA1
0.010896756,-0.00811259,NONO
0.691826032,-0.15715154,RAB35
2.602916174,-0.323989868,RCN1
1.358995607,-0.604073842,LLGL1
1.381455616,0.311505,PCBP1
3.33976503,-1.185754776,RHEB
0.172110609,0.251601537,TOMM20
0.076394128,-0.066985448,SF3B3
1.147106946,1.703257879,SAFB
1.235951757,-0.477839152,SEC23B
2.528031068,-1.020938238,SLC9A3R2
1.457301869,-0.682963689,SF1
0.472103907,-0.63536644,TRIP13
0.58188728,-0.879269918,MAPRE1
0.441043812,0.149110158,ELAVL1
1.651470629,-1.052326838,NSDHL
1.66008443,-0.370205561,SLC1A5
0.520304601,-0.151403427,VAMP3
1.456233524,-0.604890188,07-Sep
2.103779628,-1.266033808,PKN2
1.674311657,-0.657018661,DPYSL2
0.09815303,-0.09208107,OCLN
1.005180503,-0.916502635,DBN1
0.100593878,0.066752752,NDUFA5
0.821842411,-0.153327306,CLPP
0.025049132,0.009174983,TST
3.183568309,3.424547195,HIST2H2AA3
1.271652757,-0.745260239,NDUFA9
0.132131971,-0.150969823,PCK2
2.462888066,0.445611318,IMMT
1.006801756,-0.609311422,LEPRE1
0.062321994,-0.093013128,HSDL1
0.181321262,0.162403107,ARL13B
3.340779091,0.774028778,TIMM50
1.183722501,0.314272563,NADK2
0.545338283,-0.401632309,GXYLT1
0.550010096,0.306056976,ACSF3
0.329698382,0.177282969,ANO6
1.830402859,-0.745832443,TMEM259
0.977969561,-0.975541433,AGPAT9
0.612732475,-0.162478765,HSD17B12
0.551809816,-0.216890971,RABL3
0.281446863,0.352208455,COQ5
0.769969297,-0.344402949,MOV10
2.224788768,-0.843166987,MIA3
0.503146514,0.459826152,PHF6
1.672638959,-0.456102371,PITRM1
0.595547281,-0.296758016,COA6
1.943806499,0.721292496,TOR1AIP1
1.333167222,0.538178762,AARS2
0.614234464,-0.244819005,DLG3
0.013810998,-0.004747391,TMEM230
0.020198137,0.042215983,UBE2NL
0.691651464,-0.306341807,SLC27A3
1.18080408,-0.705925624,SPECC1
0.566516464,-0.341096242,MRPS18A
0.00956819,0.007688522,RALY
1.169375686,-0.546941121,VARS2
0.500220361,-0.17459933,RARS2
1.554249806,-1.202927272,FKBP15
0.967494522,-0.519716263,C9orf114
3.781248858,1.022050222,IBA57
1.079787279,0.319071452,MRPL2
1.795999184,-0.300216675,ADCK3
1.897451869,1.182824453,ATAD3B
0.257813264,-0.186294556,MNF1
0.92035818,0.276767731,MINOS1
1.349540778,-1.458576838,CROCC
1.864156609,0.78338623,LYRM7
1.17327024,-1.025704066,GHITM
0.045664692,0.042339325,PRPF38B
0.128756533,0.173899333,CDKAL1
0.488567686,0.072493235,ARHGEF2
0.014122793,0.014044444,LRRC16A
0.33015729,-0.209471385,QIL1
0.137396973,-0.044891993,STEAP3
0.76619272,-0.30095164,GLT8D1
2.491384942,-0.981019338,LAMTOR1
0.380523639,0.127258301,DHRS7B
3.453252737,-1.792882284,RAB12
0.614006875,-0.276764552,SLC25A24
0.765068764,-0.314626694,TMEM214
2.155622414,-0.39608256,PTRF
0.363135917,0.349654516,RPUSD3
0.152227713,0.231733322,LPCAT3
0.171527475,0.151770274,MRPL14
0.394747585,-0.989269892,SLC27A4
0.120191523,-0.050181071,EDC4
0.183068275,-0.233803431,PRPF8
0.730209711,0.334295909,SFXN4
0.4830288,-0.708588282,CASC4
1.012295145,0.442047119,DARS2
0.913114837,-0.972312291,RHBDF2
0.213751535,-0.174583435,CCDC137
0.192651573,0.077822367,LARP1
0.27864896,-0.061185837,SLC30A9
0.409393114,0.101964315,SARM1
1.889488891,0.478151957,MTHFD1L
1.985684434,-0.25815773,LCLAT1
0.179681185,-0.174107234,DHRS13
3.717586236,1.409901301,APOOL
1.607714896,-0.530604045,PTPLB
1.189863845,-0.240150452,HSDL2
1.121851804,0.265552521,NFXL1
0.216886119,0.376986186,QSOX2
0.283408214,-0.130315781,ACSS1
1.844526745,-1.031180064,TMTC3
0.138955089,-0.145455043,ACAD11
2.494935139,1.710464478,USP30
1.894866668,-0.829151789,IKBIP
3.200357529,3.513911565,HIST2H3A
0.430140527,0.267357508,LARP4
0.111977917,-0.065290451,SND1
0.861949188,0.297849019,COX15
0.475111268,-0.291699727,DDX46
1.460418134,0.309014002,TRMT10C
1.878902227,0.591130575,DHX30
0.203383518,-0.193049113,CYFIP1
1.562035066,-0.731554667,LPCAT2
2.653516179,1.397340139,TAOK1
0.692006131,0.458807627,FASTKD5
0.307619993,-0.058736165,ZC3HAV1
0.635905132,0.308754603,MRPL21
0.683840372,0.128647486,MAVS
0.979105765,-0.791409175,GOLGA7
0.053596461,-0.009216309,MRPL55
0.233896808,-0.131192525,TMED4
1.622512611,0.473918279,MRPL10
0.175527166,0.103628794,GLRX5
0.863056933,0.421005249,ACOT1
2.241438543,0.4244531,MTDH
0.286757492,0.281407038,AGPAT6
1.380263664,0.243605296,KTN1
1.101680994,0.423446019,NLRX1
1.577646665,-0.472937266,TXNDC5
0.056557302,-0.051762263,ALYREF
0.591046131,-0.320259094,CAND1
0.57409524,-0.396670659,RPS19BP1
0.679634227,-0.677642186,TMED7
0.791313335,-0.348718007,STX12
1.343816421,1.139273961,RAB43
1.508614096,-0.988599141,PLD3
0.535914084,-0.159854253,MCAT
0.392723118,1.1693573,ZBTB8OS
0.828612367,0.258763631,DNAJC10
2.917319236,0.596849442,RHOT2
1.939365123,0.313758214,RHOT1
1.513105909,0.473725001,MRPL41
0.408660463,-0.318744659,PNPLA6
0.512755665,-0.318196615,PPAPDC2
0.873203731,0.276831309,FTSJ3
3.362629199,0.684890747,SUPV3L1
0.336554168,-0.219758987,EXOC8
0.020186323,0.021778742,THNSL1
0.479385065,-0.209184011,KIAA2013
0.896949925,-0.976707458,KATNAL2
1.152840346,-0.518762589,CMTM4
0.779659242,0.670525869,RBFA
0.978414421,0.234963735,NDUFAF2
0.01870889,-0.007300695,NUP93
0.004352083,-0.002181371,LRRC47
0.994747532,-0.567814509,ANKRD35
0.61133146,0.807107925,GUF1
0.644158658,0.227844238,
1.245927344,0.871686935,ZADH2
0.086400728,0.063347499,SMIM20
0.692763663,0.515313466,TMEM57
1.097329452,-0.395729701,CISD2
0.671205584,-0.163487116,JAGN1
1.4346691,0.243506749,MRPL50
0.892976713,-0.238791148,EMC1
1.797358108,-0.366753896,ENAH
0.76238926,0.157732646,MRPL43
1.064204972,-0.281272888,GOLM1
1.330418988,-0.446289063,COLGALT1
2.159383658,-0.890350978,UBAC2
0.936748123,0.182864507,RDH13
0.360734714,0.34496816,TTC13
0.211024551,-0.071186701,ATAD1
2.060527655,0.354921977,SERBP1
0.508259566,-0.2407945,KCT2
2.710848598,1.528428396,LEMD2
0.624876121,0.405416489,NOA1
1.371291634,-0.441083908,CNNM3
0.044085914,0.05329895,ABCF1
1.38570107,0.506377538,MCU
0.518545359,-0.333396912,LPCAT1
0.049271944,0.042785009,TOR1AIP2
0.611810711,0.546646754,MOSPD2
0.472353747,0.169675191,GRPEL2
0.124586173,0.080584844,GADD45GIP1
2.480519672,1.268884023,NUBPL
0.611175819,-0.320119858,GOLGA5
1.337878387,-0.644618352,FAM57A
1.602015079,-0.288592656,RDH11
0.474821915,0.171175003,MRPL30
0.135865036,0.049740473,STT3B
0.635425015,0.502820333,PNPT1
0.397767404,0.256725311,HM13
2.244918805,1.704516729,GPT2
0.56402565,-0.513300578,NUP210
1.114203849,0.504520416,CHPT1
0.451107153,0.268047969,PTPMT1
0.775609792,-0.640814463,PDCD6IP
2.82086863,-1.247189204,NAT14
1.893252407,0.769484838,TFB1M
0.290545497,-0.151463191,SCFD1
3.156496095,-0.789629618,FAR1
0.159288474,0.038755417,C2orf47
1.252059786,-1.202811559,CKAP2
0.452514857,-0.132947286,BRI3BP
0.043218528,-0.017726898,DDX1
0.06058337,0.07821401,SLC39A7
2.868930953,-0.790918986,H1FX
2.292691632,-1.905381521,GBF1
0.681578237,-0.357364019,TM9SF4
0.690482732,0.372392019,WASF1
0.512947705,-0.25424703,AP3S1
1.123745936,-0.241881688,UBXN4
2.547583264,-0.386571884,LPGAT1
1.394439971,-0.677676519,GCN1L1
0.695160995,-0.163187663,NUP205
0.825379405,0.339329402,MRPS31
1.054939332,0.224074046,AKAP1
0.516641404,-0.148122787,ARPC1A
0.152956415,-0.156915029,TAF15
1.229548358,-0.396052678,RAD50
0.04815149,0.02341334,GLG1
1.98379004,2.603447596,UPF1
0.639730176,-0.264781316,KHSRP
3.855933179,4.000497818,HIST1H2AC
1.861205626,-0.717749278,YIPF5
0.170027464,0.152671814,RPL36AL
0.527990863,0.592468898,GFM2
1.570529856,-0.410572688,NCLN
1.048303583,-0.690184911,ERGIC1
2.122916587,0.586091359,TBRG4
2.036101858,-0.37293752,CCDC47
1.572564373,0.658190409,MRPL24
0.150640533,-0.11650149,EXOC4
1.709597563,0.238526662,LRRC59
1.625112042,-0.801209132,ARL8A
0.406264839,0.226158142,SELRC1
2.141808799,0.682565053,PYCR2
1.541107935,-0.361366272,GRAMD1A
1.142983923,0.237288157,FAF2
0.160500321,0.144562403,CCDC124
1.733342452,-0.698570251,AP2M1
0.98727606,-0.327070872,ADCK4
0.26823109,0.275183996,RAB39B
0.463338426,-0.200979233,DNAJC19
1.217898407,0.389401118,MRPL38
0.037201076,-0.020929972,MRPS24
1.262519118,0.340081533,MRPL53
1.048922151,0.477916082,CCDC51
0.727564252,-0.234497706,SMIM12
0.831427696,0.301544189,DNAJA3
1.946874489,0.473366419,PTCD3
0.436026663,0.090541204,MMAB
0.00255742,0.00118192,EDC3
0.722291218,-0.653313955,ZC2HC1A
0.627416486,-0.382766088,MYO19
0.639635727,0.50996081,ERO1L
0.348979219,0.32825915,PRR11
2.008064811,0.250029246,PGAM5
2.541877743,-0.508763631,DDRGK1
0.526116623,-0.768800735,DHTKD1
0.420246947,-0.338381449,FUBP3
1.955674428,0.649937948,NARS2
0.550823837,0.455851237,SUCLG2
1.029533831,-0.16330719,USMG5
1.959240639,-0.918919245,CDK5RAP3
2.338964679,-0.846256256,TMX3
0.227615751,0.256375631,CLPTM1L
1.300072218,-1.219610214,DNAJC1
1.667303848,-0.696467717,SNX27
1.140143619,-0.494946162,MBOAT7
0.486145454,0.142201106,SFXN2
0.130361441,-0.129919688,RBM14
1.337846555,-1.333124161,VPS35
0.993510902,-0.922027588,GFM1
2.064828387,0.166611354,ERGIC2
2.515936038,-0.843694051,MCCC1
1.970629502,2.600090663,TWINKLE
2.492852804,-0.797778447,ERBB2IP
1.915740363,-0.538131714,PIGS
1.204046855,-0.467241287,CLCC1
0.735676127,0.701079686,CDK5RAP1
0.512026052,0.131599426,YME1L1
0.058723878,0.059256872,RMDN3
0.30826093,-0.319456736,SEC62
0.895241509,-0.206759771,SDF2
1.571977816,-0.51770401,PARK7
0.35789941,-0.099351883,VAT1
1.916990449,-0.42020607,PKP4
0.55101571,0.120871226,PHB2
0.664966506,0.206019719,CHP1
0.677561992,0.292901357,HSD17B10
0.179935448,0.048463821,HNRNPAB
1.607484697,-1.028167725,NAPG
0.872097253,0.346001943,MIPEP
1.08196779,-0.531121572,TM9SF2
1.357884633,-0.420252482,SLC29A1
0.350488302,-0.211900711,CCT7
0.252945336,0.14088122,AGPAT1
0.10070429,0.069441477,PKP2
4.82346215,1.948652903,VRK1
0.412784411,0.610301971,AKAP9
1.149188481,0.80366834,DDX50
0.511912775,0.523402532,ELAC2
0.320675959,-0.415561676,GRWD1
4.466636916,5.956737518,MACROD1
0.497295785,0.186969121,ECSIT
0.995879767,-0.741975784,C17orf62
2.944297524,-0.449567159,VKORC1
0.289715409,0.150165558,MRP63
3.158253224,1.123675028,MGME1
0.033629826,-0.028802872,MRPL45
2.272252316,-0.583966573,SDF4
0.26758966,-0.124267578,ADPGK
0.869054976,0.362559001,PELO
0.45624919,-0.266513824,ERP44
0.046179819,0.048817952,NTPCR
0.44377163,0.218520482,C19orf52
0.435472024,0.107662837,TACO1
1.658886076,-0.379508972,ESYT1
0.016610035,-0.008087158,ALG1
1.089702502,0.581663767,LRRC1
1.049760325,1.057847341,PI4K2A
0.134506584,0.053846995,TMEM43
0.163312932,-0.26904424,DHRS4
1.575556495,-0.593432109,LMF2
1.785203139,0.785017014,NDUFAF3
0.513108098,0.162302017,MMTAG2
3.799655514,-0.558666865,TMEM70
1.009365394,-0.850978216,TUBB6
0.361181363,-0.147994359,VAMP8
0.710266435,-0.340897878,TMEM109
0.067369731,-0.093594869,PTDSS2
2.76507534,-1.067860921,TMED9
0.327311744,-0.102930069,TIMM21
0.287647636,0.149487813,ELOVL1
0.89407662,0.149021784,TARS2
0.527022051,-0.224351247,SFXN3
1.162232384,-1.089341482,HINT2
0.827161797,-0.540380478,NUSAP1
0.955235585,-0.25429217,CECR5
2.964868384,-0.877429962,CADM1
1.166793179,-0.975203196,POLDIP3
0.144499785,-0.127161026,MRPL32
0.558733171,0.498821894,MRPL20
0.640860086,-0.143393199,MRPL9
0.599300113,0.267611821,MRPL1
0.046478655,0.019058228,MRPS26
0.501251485,0.239519119,MRPL37
0.713109153,-0.288993835,GTPBP4
1.350221304,-0.393446604,OSBPL8
0.096333549,0.115102132,LRRCC1
0.729900073,-0.788082759,ELOVL4
0.79418921,-0.254365921,SLIRP
2.080858548,0.419816971,MFF
3.430760864,1.817269007,CLPB
0.442721235,0.102188746,RAB33B
1.906906968,-1.136674881,LSG1
0.01193333,-0.052017212,KLC2
