minusLOG10p-value(GFP vs triple),Difference(GFP vs triple),Gene names
0.78396131,-0.607252121,CALD1
0.558938698,-0.529773712,DCTN1
1.573919915,0.47820727,NT5DC2
0.154144048,-0.081365585,RAVER1
1.801007424,-2.683031718,NACA
0.504703682,0.231936773,PDHX
1.410835196,0.201349894,SDHA
0.642189402,-0.507099152,PAICS
0.476487948,-0.397899628,GALNT7
0.508558418,0.267986933,AGK
2.132519023,0.811355591,CCNB1
0.007434854,0.006158193,OGDH
0.367613724,-0.134828568,SMC4
0.139340415,0.380270004,CCDC18
0.350809419,-0.117862701,MYO1B
2.720348839,-1.355337779,DMD
0.244464183,0.14317131,WDR6
0.397283912,-0.180578868,NUP155
0.695530652,-0.644679387,HADH
0.084985645,-0.017369588,TBL2
0.944778584,0.275267283,ERGIC3
0.02439318,-0.022348404,PRDX3
0.048647249,0.011859258,TCOF1
0.103453772,0.053385417,LANCL1
0.198878508,-0.181619008,EPB41L2
0.067075844,0.103729884,MTG1
1.266874801,-0.104446411,SPCS2
0.546160172,0.309321721,TMEM126B
2.187910087,0.472099304,EEF1D
0.383684961,-0.215472539,BCLAF1
0.511275935,-0.191017151,HYOU1
0.575052586,-0.261478424,MTFR1L
0.490765826,0.289011002,C11orf48
0.099403096,0.271023432,NPEPPS
2.497414444,-1.005507787,LAMTOR5
1.15702303,-0.593504588,CD151
1.419671082,-0.348031362,RHOC
0.158043383,0.069979986,NDUFS8
0.886751336,0.408248901,FAU
0.288012618,-0.074544271,NME4
0.021448828,-0.018677394,TMEM258
3.409790918,-1.070676804,RHBDF1
2.185684713,-0.649874369,JUP
1.006157824,0.908311208,CHD4
1.921556912,-0.441806793,PODXL
0.970878252,-0.442372004,TMED2
2.477292356,-0.590725581,SUCLA2
0.426074151,-0.155672709,DAD1
0.84842753,-0.522690455,ATP6V0D1
0.71761349,0.117177963,LONP1
0.437341318,-0.305490494,NPTN
1.43701216,-0.487742742,PARD3
0.06756767,-0.099652608,DHX36
1.209876315,0.101102193,SLC3A2
0.683769782,0.399205526,PUS1
0.496934887,-0.749247869,GBA
2.307278362,-0.787591934,ANKLE2
0.38363529,-0.101085663,VMP1
0.841753034,-1.083554586,DCTN2
0.383666461,-0.396326701,EIF3A
0.494796213,-0.445210139,SEC23A
1.841399474,-0.978034337,TSG101
1.857755362,-0.978062312,ATP6V0A1
0.421915027,-0.175178528,NUP133
2.063384829,0.545337677,GRSF1
0.645365512,-0.203030904,TAP1
0.568116493,0.233875275,MYO1C
0.224306527,-0.333621979,MAGOH
2.038782048,-2.172286352,CDK17
1.548714521,-0.839430491,RPTOR
0.877148913,0.282434464,TRAP1
0.277858627,-0.063961665,IARS2
1.05984043,0.662346522,PDE12
3.155674891,0.547458013,CAD
0.051466041,-0.025789897,DDX39B
1.527883044,-1.100439072,RITA
0.396277255,-0.207302729,PLXNA1
0.441089962,0.294123967,DENR
0.789225111,-0.352268855,CSRP2
0.411560666,-0.110326131,SLC38A1
1.393252105,0.661316554,SMARCC2
1.359902216,-0.488665899,PPP1CC
0.680003995,-0.559754054,PRKAG1
0.577523459,0.382273356,AK2
2.348737079,0.525328318,MYL6
1.014390109,0.221980413,HNRNPA1
1.305504533,0.232725779,UBAP2L
0.921844488,0.154359818,RPL32
1.367240343,0.728159587,FAM162A
0.089905297,-0.036698023,YTHDF1
2.478852991,-0.750888824,MACF1
1.987715808,0.932783763,TOMM5
0.717046381,-0.44996198,IGF2BP2
1.935411163,-1.294500987,STX3
0.685088825,-0.262398402,RCN2
1.969810946,-0.692539215,DTNA
0.984002758,-0.947599411,ALG3
1.826399444,-0.663809458,NDUFV1
0.835040413,0.143434525,PON2
0.529219696,0.182898839,RPL18
0.693458607,-0.513806661,ATP5J2-PTCD1
2.544806894,-1.07391866,CTAGE5
0.845422718,-0.147153854,NDC1
0.876368137,-0.27910169,MAP4K4
0.225149187,0.104563395,RBM39
0.470953341,-1.073965073,LAMB1
2.258754814,-0.754744212,RFTN1
1.450598244,-0.819845835,GPR107
0.319453358,0.293654124,ITPR1
2.085222033,0.570177714,MRPS22
0.929461448,-0.339215597,PDIA3
1.370043801,0.162400564,HNRNPH1
0.771759831,0.322556814,SMPD4
0.360350397,0.408903122,MTHFD1L
0.162313539,0.130102793,SLC30A7
1.767483792,-1.219153086,ABCA3
1.052002034,-0.385843913,MTX1
0.067379666,0.017839432,CALM1
2.699960664,0.647888819,PISD
0.143079952,-0.097822189,EMC4
1.182365553,-0.352430344,CERS2
0.255284761,-0.104784648,IDH3A
0.025973246,0.017788569,SRP14
0.254507783,-0.194307963,ALDH1A2
1.181178301,-1.045521418,RPS27L
1.305208736,-0.482650121,DDX17
2.453936309,-1.040384293,SPNS1
0.052405572,0.031008403,RNPS1
0.946811629,0.377389908,RSL24D1
1.145326037,1.252438227,IST1
1.063325229,0.36774826,FUS
0.219797208,0.135545095,NDUFB10
0.146140481,0.077336629,HAGH
0.581791115,-0.545444489,APRT
0.600719007,0.127039591,EARS2
0.395904495,-0.252072016,C16orf58
0.817589586,-0.711219788,LRRC57
0.946690208,0.351640701,
3.096829849,-0.588761648,ATXN2L
0.01419543,0.009841919,NOB1
1.496043859,0.225828807,TMEM209
0.436925955,0.302530289,PCMT1
0.791507885,0.648873011,NUPL1
1.678798731,-0.446577072,PDIA3
0.216666331,-0.165076574,SUMO2
0.128879833,-0.048854192,YIPF4
0.816356202,-0.537296295,SLC35E1
1.10839922,-0.979040782,BET1
0.341316524,0.166700363,ART4
0.702359526,0.455917358,NIPSNAP1
0.06484445,0.034322739,DDX19A
4.713856785,-0.54756546,NSF
0.893749895,0.387634277,PAM16
3.383879682,1.286298116,NEURL4
0.141637038,-0.062433243,MYBBP1A
0.035722677,0.018417358,RPS15A
2.345936078,0.415897369,ATPAF1
0.268559603,-0.096371969,NUP88
2.55174916,-0.709821065,NDUFA13
1.319899442,-0.548948924,PI4KA
2.255116691,0.848986944,OXA1L
0.668761365,-0.3818175,CYB5B
0.088419105,0.1338679,CHID1
0.060332378,-0.09011968,ALDH6A1
3.876471533,1.292513529,TRABD
0.113642062,-0.10697937,PTRH2
0.297287764,-0.052670797,FKBP8
0.727130668,0.275170008,C6orf120
0.733478391,-0.390244802,APOL2
0.03964977,-0.031103134,RPL36A
0.714951,-0.112181346,IARS
0.800848645,0.183296839,IVD
0.324417265,-0.29108874,SLC39A11
0.301721162,-0.220026652,RPL17
0.044757764,0.018577576,ICT1
0.637828198,0.763507207,DCXR
0.487099792,-0.227674484,FBXL20
0.386851462,0.257410685,RPL19
0.764398606,-0.228683472,SRSF1
2.379971974,0.310665766,SCO1
1.967029724,0.314745585,MRPS23
1.529267571,0.614562988,MRPS7
1.106838488,-1.14451472,LIMD2
0.559660454,-0.167879105,FDXR
2.696135467,0.340994517,ALDH3A2
1.245918181,0.715970357,MYL12B
0.477552362,-0.773796082,YES1
2.195243176,0.624792099,CHCHD6
1.134058409,-0.312325795,TMCO1
0.590051916,-0.491017024,RPS15
0.901903818,-0.674651464,EFTUD2
0.179501969,0.31909434,H3F3A
0.464555514,-0.159451803,PRKCSH
0.238211132,-0.199455897,TMEM205
0.915805488,-0.68120575,PIN1
1.684460706,-0.669406891,SNRPD2
0.743181458,0.186307907,MRPL4
0.325259543,-0.111385345,DCAKD
0.247728518,0.120124817,SARS2
0.345658006,-0.310435613,C19orf10
2.011947554,0.575164795,FBL
0.832175361,-0.606784185,NUP62
1.188195305,-0.478057226,AP2S1
1.231716015,-0.621518453,HNRNPM
0.795180585,-0.149724325,RPS5
0.716477227,-0.204938889,RPL18A
0.115431306,-0.166599909,EMC10
2.561994861,-0.582924525,AGPS
0.709680302,-0.22362709,KIF2A
0.946570816,-0.932798386,PDLIM1
1.032107093,-0.473814646,SNAP23
2.484241159,0.997331619,HAX1
0.882314799,-0.258850098,STXBP3
0.120630125,-0.034531911,PGRMC1
0.726987357,0.266220093,WWP2
0.02222397,0.025803884,IPO5
2.742340149,0.818075816,POLRMT
0.046850018,-0.035325368,SAP18
1.024517423,0.336137136,IGF2BP3
0.882543728,-1.672523499,PIK3R2
4.224899597,-1.001602173,GOLIM4
1.734284539,-1.36488088,AGRN
1.530859793,-0.33025233,NDUFA4
1.564498816,-0.863021851,SDCBP
0.744344497,0.367827098,NOP56
0.285480742,0.120054245,DDX3X
2.945837235,-1.05500412,SCD
0.322727246,-0.18933169,COX7A2L
0.300241296,0.117118835,IRS4
1.109840239,0.256782532,ACOT8
0.646795352,-0.282773972,CDIPT
2.082127478,-1.116097132,PDCD5
1.081564669,-0.81425794,SLC9A3R1
0.026165415,-0.021677653,PSMA7
0.219717901,0.09269015,SCAMP3
0.661274405,0.924554189,MGST3
0.587486811,-0.170634588,TIMM23
0.134525065,-0.150372823,CASK
1.498380188,0.254776001,UQCRQ
0.607699272,-0.743820826,RAB7L1
2.204822469,-0.664126078,CLGN
1.599688252,-0.686782201,PPP1R12A
1.193181092,-0.230260213,SLC27A2
0.438885331,-0.150754929,HNRPDL
1.753129189,-0.283355713,XPO1
1.053085228,-2.609980265,BTAF1
2.869625392,-1.41746521,PLXNB2
1.108745764,1.060548147,U2SURP
0.139196691,-0.221192678,KIAA0391
1.371562852,-0.512612025,SCAMP1
1.081153435,-0.235876083,SCAMP2
2.282785485,-0.513654709,PGRMC2
1.001669519,-0.69805781,GNPAT
0.830389828,0.46701622,MRPS12
2.117030736,-0.473834356,RER1
0.830062721,-0.304777145,SURF4
0.222110119,0.033248266,SPTLC1
0.523228843,-0.311861674,SPTLC2
1.453437244,-0.332846959,STX7
1.939481844,-0.847637812,ABCC4
0.165030564,-0.062899272,YKT6
0.37841878,-0.227180481,PHGDH
3.109220529,-0.563498815,NDUFS4
1.116670382,-0.436022441,ZW10
0.409601147,-0.112731934,EMC8
0.797600766,-0.536249161,MBTPS2
0.843394006,-0.207970301,EPB41L2
0.766323009,0.338542938,TIMM44
2.549268878,-0.546452204,NDUFA2
1.270043736,-0.451086044,ACTN4
0.004365186,-0.007394791,SLC25A20
1.870467283,0.605103811,SCO2
1.156578202,-0.621788025,SLC37A4
0.088619398,-0.025027593,IDH3B
1.867929621,-0.546860377,CALU
0.361265717,-0.399025599,AHCYL1
0.632586571,-0.461228689,NDUFS5
1.908980787,-0.863595327,PEX1
0.970146229,0.276033401,TIMM8A
2.66435879,-0.689467748,OPA1
0.304466632,-0.145353317,ACSL4
2.512023974,-1.074762344,SNX3
1.425188646,-1.098243078,STX10
0.29898825,-0.141812642,SYNCRIP
0.476668163,-0.405369441,PLOD3
0.396881194,0.165790558,ICMT
2.002533147,-0.410074234,DPM1
2.107909545,-1.177331289,USO1
0.033467893,0.046934128,MRPS14
4.436214176,3.757797877,HIST1H2BK
0.541118951,-0.423512777,CCDC22
1.888260591,-0.391073227,PRAF2
1.734484849,-0.557116191,EIF5B
0.102004887,0.104168574,EDF1
0.781515218,0.156363169,DNAJA2
1.206013492,0.251636505,ABCB7
3.188998753,-1.452193578,ROCK2
1.508018113,0.162183762,HIP1R
0.191193341,0.416789373,DNAJC13
1.34966142,-0.681792577,DNAJB6
0.49449964,-0.189085642,NDUFS7
0.66783901,-0.273301442,NDUFS2
3.007918301,0.523156484,GBAS
2.190844704,-0.927892049,ATP6V1G1
1.83294766,-1.108311335,FLNB
0.62960347,-0.262135824,NDUFS6
1.307867827,-0.593557358,PEX14
1.569640745,0.359674454,MRPL33
0.324193348,0.036288579,SEC22B
0.043919467,-0.050524394,PRPF40A
0.59826136,0.28324,PMPCB
2.31451336,-0.59390831,ERLIN1
1.395486105,-0.21999677,NDUFS3
1.830211252,-0.31511116,ECI2
3.600532026,3.327837626,BANF1
0.159533829,0.048852285,ERAL1
0.358213946,0.302842458,SNRNP200
0.648511439,0.481779099,TRMU
0.784075557,0.376849492,SLC25A12
0.223015569,-0.048608144,ZMPSTE24
1.694072753,0.963499705,STAM2
3.167784756,-0.591877619,ATP5H
3.13816383,-0.896884282,FLOT1
0.816592307,-0.523461024,ATP5L
1.085031303,-0.209801992,CPD
2.194394398,1.058264414,RSL1D1
0.215268591,-0.131144842,WFS1
3.359714975,0.788764318,CLPX
2.365714891,-0.525142034,SRP72
1.71038385,-1.087329865,B3GAT3
0.602930313,0.212358475,TOMM70A
1.895659261,-0.499206543,UFL1
1.546850624,0.304069519,ERLIN2
0.942135327,0.18080012,GLS
1.220640044,-0.630425771,AP2A2
1.34626225,0.262353897,MFN2
2.32447122,-0.465591431,NDUFB4
1.108647705,-0.692465464,NDUFB8
2.035510878,-0.577957789,NDUFA7
0.305449703,-0.291439692,VAMP5
0.335570239,-0.21110789,RTN3
1.210560549,-0.273362478,LETM1
1.966614926,-0.160657247,VAPB
1.987042851,-0.515626907,MPZL1
0.312507704,-0.165311813,SMC2
0.438437564,1.604407628,UTS2
2.307469235,-0.442099889,SGPL1
2.974331489,1.334437052,NSA2
0.072991568,0.038693746,MPC2
1.290498796,-0.228631973,ACSL3
2.359349124,-0.482148488,CDS2
0.409543477,0.546404521,HERC2
0.047479648,0.053960164,RAB3D
1.183358957,-0.374401728,AP2A1
0.192500902,-0.171290716,STAU1
1.23218563,-0.332525253,BAG2
1.594221787,0.414562861,AIFM1
0.094779043,-0.077377955,TXNDC12
0.897477581,-0.828788122,CLPTM1
3.614114406,2.389323552,TOMM40
2.202198886,-0.816557566,PEX11B
1.165022234,-0.384427389,PAK4
1.172106467,-0.577229182,CYB5A
0.258608682,-0.285203934,LDHA
2.379828313,0.670007706,GLUD1
0.663622393,-0.313579559,CYB5R3
0.83809941,0.51075236,GSR
0.029322755,-0.012193044,MT-CO2
0.561221285,-0.306358337,GOT2
0.803260208,-0.827355703,PGK1
0.737893047,-0.191141129,NRAS
1.590227141,-0.83316803,KRAS
1.23215036,0.684247971,HLA-B
3.749466472,2.800617218,LMNA
1.668769647,-0.46987915,TFRC
2.759704427,-0.773424149,MT-ATP8
0.640783622,-0.351929983,ALDOA
2.037028394,0.305151622,APOB
0.867443736,-0.235757828,OAT
0.0250097,-0.017960866,GAPDH
0.13665734,-0.04417038,HLA-A
0.460086574,-0.304361979,TP53
1.025624523,-0.20267868,RPN1
0.536107028,0.153035482,RPN2
1.573993192,-0.194307327,GNAI2
2.732613356,-0.471549988,ATP1A1
0.213460786,0.471590678,ARG1
0.703760464,-0.318845113,ALDH2
0.41294124,0.042564392,SLC25A5
0.255089078,0.09688886,EIF2S1
2.800844388,2.034638087,HMGN2
0.450400079,0.681028366,RPLP1
0.72969356,0.173513412,RPLP2
0.02894065,0.010305405,RPLP0
2.631017522,-1.009503682,ITGB1
0.099847558,-0.045440674,KRT18
2.383751669,0.633225123,MYL3
2.532738833,-1.25570488,GLA
0.462824348,-0.153305054,CDK1
2.360342513,-0.463199615,ATP5B
1.865506202,-0.627140681,ENO1
2.959487604,0.524155299,NPM1
0.261003916,-0.101398468,TPM3
3.850681251,3.885769526,HIST1H2BJ
1.418584547,-0.709852219,EPHX1
0.18344381,-0.246500015,LDHB
1.690002355,-0.5585982,P4HB
1.289611808,-1.334271749,CTSD
1.811870909,-0.418460846,ANXA2
0.076747287,-0.045236588,TUBB
0.209524815,-0.396151861,PFN1
0.141676587,0.042528788,EPRS
0.434817989,-0.262896856,HSP90AA1
1.914972091,0.487366358,UQCRH
0.388400324,-0.197210948,LYN
0.434579275,-0.181098302,FH
1.635609123,0.383165995,HSPA1A
0.195077334,-0.135333379,PFKM
0.022299185,0.026316325,HSP90AB1
0.700084582,0.165055593,SRPR
0.544171229,0.327655792,ASNS
0.277209799,-0.141770045,PDHA1
1.692499767,1.077637355,CYC1
1.530911781,-0.488476435,SNRNP70
3.294399972,-0.722300212,VIM
0.638802646,-0.163314819,RPS17
1.17860001,-0.274500529,GNAI3
1.290946843,0.68631808,HMGB1
1.875237997,-0.628785451,CLTA
2.28781332,-0.919612885,CLTB
1.951206275,-0.58417956,CNP
0.688326711,0.17906189,DLD
0.132129633,-0.038766861,COX6C
4.940851744,6.035970052,PARP1
0.50663607,-0.539543788,UCHL1
1.578326854,2.280560176,H2AFZ
1.0760951,0.430845261,CISD3
0.373805201,0.232131322,FDX1
2.62895697,0.380893071,HIST1H1E
0.183019026,-0.11657842,DLAT
3.017752384,-1.496048609,PTPRF
0.131420405,0.066120783,TXN
0.061061472,0.012801488,COX5B
1.707358391,0.342140198,HSPD1
0.531799295,0.143110911,HSPA5
1.606797784,0.273220062,HSPA8
0.800539431,-0.844717026,SLC2A1
0.0243545,0.008951187,EPB41
0.595551378,-0.241903941,PDHB
3.773902107,1.767713547,DBT
1.217593636,-0.181809107,RALA
4.003748579,-1.626577377,LAMP1
0.622684426,-0.261068344,ACADM
3.393293255,2.213977178,TOP1
2.94724987,2.830010096,TOP2A
0.746292214,-0.194083532,PC
0.911405427,-0.358037949,MTHFD1
1.08626666,-0.263107936,IGF2R
0.293553083,0.104984919,PABPC1
2.538757483,1.561901728,PCNA
0.778854368,0.341716766,SLC25A4
3.73454039,-0.476653417,SLC25A6
0.439479701,-0.536584218,CKB
0.759111755,0.424724579,CKMT1A
3.361514608,-1.092851003,SRC
4.260026373,4.487993876,XRCC6
3.88616874,5.176647186,XRCC5
0.899943413,-0.543196996,COX4I1
1.513588646,-0.766934077,NCAM1
0.486710349,-0.27379481,EEF2
0.774128031,-0.440352758,PDIA4
0.790111821,-0.386127472,P4HA1
1.72342342,0.711311976,PLS3
0.001771569,-0.001279195,ETFA
1.623686022,-0.341491063,PRKAR2A
1.953403273,0.564630508,MTHFD2
0.512312066,-0.30009524,PKM
0.81870132,-0.387451172,HSP90B1
0.74200443,-0.198381424,COX6B1
0.043986744,0.026248296,HNRNPL
0.469654796,0.226148605,DARS
1.556461118,-0.617699305,JUP
1.53217031,0.559034348,UQCRB
0.327127189,0.138986588,PVR
0.35099087,-1.494601568,MYOD1
0.725543965,-0.323176066,EZR
0.245399251,-0.078664144,RPS2
0.707136282,-0.608235041,DSP
0.325052773,-0.356290817,CBR1
0.938398153,0.348398209,HIST1H1C
0.341019657,-0.19993337,POR
0.543940864,-0.074382782,ATP2A2
0.988585638,-0.886080424,STMN1
0.512024777,-0.113530477,YBX3
1.300385677,0.5433623,HSPA6
3.504161161,1.95525233,HMGA1
2.143642965,-0.726054509,NDUFB7
0.754099487,0.442164103,PRKACA
1.189043627,-0.677457174,CTPS1
0.017986536,0.022463481,PFKL
0.877284605,0.82988294,LGALS3
0.803544521,-0.314865112,TCP1
1.130369696,-0.2066377,PTPN1
1.304090604,-0.39088122,RPL35A
1.629725009,-0.451512655,ARF4
0.72472308,-0.165335973,RPL7
1.061683213,-0.693260829,PGAM1
1.92127913,-0.620004018,ATP5J
3.847067819,7.51789856,XRCC1
0.590059895,-0.184713999,NCL
0.990890156,0.400772731,EIF2AK2
0.070816857,0.014568329,ATP2B1
0.524916806,0.259511948,EIF2S2
0.090208499,-0.033281962,RAB4A
2.957556393,-0.397435506,RAB6A
0.128222317,0.080833435,M6PR
0.099935406,0.044842402,COX5A
